=>> Grammar used: 
Grammar with 10 productions (start state = S)
    S -> S '+' R [0.4]
    S -> R [0.6]
    R -> T [0.6]
    R -> 'C' '*' F '(' T ')' [0.4]
    T -> T '*' V [0.4]
    T -> 'C' [0.6]
    F -> 'sqrt' [0.333333]
    F -> 'exp' [0.333333]
    F -> 'log' [0.333333]
    V -> 'x' [1.0]

ModelBox: 1025 models
-> C0*x, p = 0.091663294464, parse trees = 3, valid = False
-> C0*x**3, p = 0.013951401984000002, parse trees = 2, valid = False
-> C0*x**2 + C1, p = 0.02479054154750339, parse trees = 295, valid = False
-> C0*sqrt(C1*x**5), p = 0.0004915200000000001, parse trees = 1, valid = False
-> C0*x + C1, p = 0.06666639419166065, parse trees = 579, valid = False
-> C0*log(C1*x), p = 0.01944576, parse trees = 2, valid = False
-> C0*x**2, p = 0.035374608285695996, parse trees = 3, valid = False
-> C0*sqrt(C1*x**3) + C2, p = 0.0019515313093953076, parse trees = 55, valid = False
-> C0*x**3 + C1, p = 0.009500900700924473, parse trees = 145, valid = False
-> C0*sqrt(C1*x) + C2, p = 0.013217935709067378, parse trees = 156, valid = False
-> C0*log(C1*x**2), p = 0.0077193216000000005, parse trees = 2, valid = False
-> C0*x**4, p = 0.0055296, parse trees = 1, valid = False
-> C0*sqrt(C1*x), p = 0.01944576, parse trees = 2, valid = False
-> C0*exp(C1*x) + C2, p = 0.013272150150189295, parse trees = 179, valid = False
-> C0*x + C1*log(C2*x), p = 0.0024543794036735993, parse trees = 12, valid = False
-> C0*x**6, p = 0.0008847360000000002, parse trees = 1, valid = False
-> C0*sqrt(C1*x**2) + C2, p = 0.005077031270279509, parse trees = 93, valid = False
-> C0*exp(C1*x**3), p = 0.003072, parse trees = 1, valid = False
-> C0*x**2 + C1*x, p = 0.004485463103143676, parse trees = 15, valid = False
-> C0*x**2 + C1*sqrt(C2*x) + C3, p = 0.000667109109597733, parse trees = 75, valid = False
-> C0*exp(C1*x), p = 0.019448905728, parse trees = 3, valid = False
-> C0*exp(C1*x**8) + C2*log(C3*x) + C4, p = 1.8554258718720008e-09, parse trees = 1, valid = False
-> C0*sqrt(C1*x**2) + C2*log(C3*x) + C4, p = 7.578184923214146e-05, parse trees = 19, valid = False
-> C0*x + C1*exp(C2*x**2) + C3, p = 0.0006409345460095145, parse trees = 74, valid = False
-> C0*x**2 + C1*exp(C2*x) + C3, p = 0.0006846322392276496, parse trees = 74, valid = False
-> C0*x + C1*sqrt(C2*x) + C3, p = 0.002166782069137997, parse trees = 182, valid = False
-> C0*log(C1*x) + C2, p = 0.013385201944757284, parse trees = 201, valid = False
-> C0*x**2 + C1*x + C2*log(C3*x), p = 0.00013216376055398402, parse trees = 11, valid = False
-> C0*log(C1*x**4) + C2, p = 0.000731385967725773, parse trees = 33, valid = False
-> C0*x**2 + C1*x + C2, p = 0.004147508250720542, parse trees = 283, valid = False
-> C0*sqrt(C1*x) + C2*log(C3*x**2), p = 0.0001978662912, parse trees = 3, valid = False
-> C0*x + C1*exp(C2*x**4) + C3, p = 5.355870408337786e-05, parse trees = 9, valid = False
-> C0*log(C1*x**3) + C2, p = 0.0019218867901264042, parse trees = 50, valid = False
-> C0*x**5 + C1*x + C2, p = 0.00014441898778713946, parse trees = 31, valid = False
-> C0*log(C1*x**2) + C2, p = 0.0050341871996829445, parse trees = 87, valid = False
-> C0*exp(C1*x**2), p = 0.0077193216000000005, parse trees = 2, valid = False
-> C0*sqrt(C1*x) + C2*exp(C3*x), p = 0.00049152, parse trees = 2, valid = False
-> C0*sqrt(C1*x**3) + C2*exp(C3*x**2) + C4, p = 2.770559922339841e-06, parse trees = 3, valid = False
-> C0*sqrt(C1*x**3), p = 0.003072, parse trees = 1, valid = False
-> C0*exp(C1*x) + C2*log(C3*x**2), p = 0.0001978662912, parse trees = 3, valid = False
-> C0*x + C1*log(C2*x) + C3, p = 0.002063176579374056, parse trees = 158, valid = False
-> C0*x**3 + C1*sqrt(C2*x**2) + C3*exp(C4*x) + C5, p = 1.7823684781670404e-07, parse trees = 3, valid = False
-> C0*x**2 + C1*log(C2*x**3), p = 0.00014155776000000003, parse trees = 2, valid = False
-> C0*x**3 + C1*x + C2, p = 0.0014182566901330524, parse trees = 129, valid = False
-> C0*x + C1*sqrt(C2*x) + C3*exp(C4*x) + C5, p = 7.397424329213272e-06, parse trees = 19, valid = False
-> C0*x**3 + C1*exp(C2*x) + C3, p = 0.00019567146831479451, parse trees = 40, valid = False
-> C0*x + C1*exp(C2*x) + C3*exp(C4*x**2), p = 1.69869312e-05, parse trees = 3, valid = False
-> C0*x + C1*log(C2*x**2) + C3, p = 0.0007588735013485305, parse trees = 92, valid = False
-> C0*x**4 + C1*x + C2, p = 0.0004526667244246239, parse trees = 60, valid = False
-> C0*x**4 + C1*log(C2*x) + C3, p = 5.8233435744636625e-05, parse trees = 19, valid = False
-> C0*x + C1*sqrt(C2*x), p = 0.002432069900697599, parse trees = 8, valid = False
-> C0*x + C1*sqrt(C2*x**2), p = 0.00093796171776, parse trees = 5, valid = False
-> C0*x**4 + C1, p = 0.0035787953763991216, parse trees = 75, valid = False
-> C0*x**2 + C1*x + C2*exp(C3*x**2) + C4, p = 7.58813416771069e-06, parse trees = 21, valid = False
-> C0*x**3 + C1*x, p = 0.0017547758130954242, parse trees = 9, valid = False
-> C0*sqrt(C1*x**2), p = 0.0077193216000000005, parse trees = 2, valid = False
-> C0*exp(C1*x**2) + C2, p = 0.005043830864380658, parse trees = 107, valid = False
-> C0*x**4 + C1*x**3, p = 0.00010192158720000001, parse trees = 2, valid = False
-> C0*sqrt(C1*x**3) + C2*exp(C3*x) + C4, p = 2.3858127254323203e-05, parse trees = 11, valid = False
-> C0*x + C1*exp(C2*x) + C3, p = 0.0020652575595722215, parse trees = 144, valid = False
-> C0*sqrt(C1*x) + C2*exp(C3*x) + C4, p = 0.0003426317123170233, parse trees = 50, valid = False
-> C0*x + C1*exp(C2*x**2) + C3*log(C4*x**2) + C5, p = 8.556760264605699e-08, parse trees = 4, valid = False
